"1morningmeal","2morningactivity","3vaccination ","4twiceayear","5oncein2-3months","6monthly","7bi-weekly","8weekly","90afternoonactivity","91eveningmeal","92eveningactivity","annually","date","done","fav","month","weekday","Creation Date","Modified Date","Slug","Creator","unique id"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550249x288029619698635620"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550249x555105604760874700"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550249x575262245017059260"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550249x587957196302849200"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550249x781769545941259800"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550249x996995257743668200"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550250x397614583776041860"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550250x569677613608192000"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550250x858503062451374100"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550250x872150036393066700"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550258x383765602007824400"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550258x643824341154619600"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550258x685032417074229400"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550258x745771026875413600"
"","","","","","","","","","","","","","","","","","May 22, 2023 4:52 pm","May 22, 2023 4:52 pm","","(App admin)","1684754550258x953460068332101800"
"Add 1/2 cup cooked brown rice + 1 tbsp coconut oil. Brown rice provides carbohydrates for energy, while coconut oil contains healthy fats that support a shiny coat and provide additional energy.","15 minutes of morning walk","","","","","Check and clean ears. Use a gentle ear cleaning solution and cotton balls to clean the dog's ears.","Check paws for injuries, such as cuts, scratches, foreign objects, or signs of infection","15 minutes of interactive playtime (fetch, tug-of-war)","Add 1/2 cup cooked chicken (boiled or grilled) + 1/2 cup cooked carrots. Chicken is a lean protein source, and carrots provide beta-carotene for eye health and antioxidants for a strong immune system.","20 minutes of training session (commands, tricks)","","1","","","1","Jan 1, 2023 12:00 am","May 23, 2023 10:40 am","May 23, 2023 10:40 am","","(App admin)","1684818624355x353445114593481800"
"Add 1/2 cup cooked chicken (boiled or grilled) + 1/2 cup cooked spinach. Chicken is a lean protein source, and spinach is packed with vitamins and minerals that support overall health and immune function.","20 minutes of mental stimulation games (puzzle toys, treat dispensers)","","","","Give a thorough bath. Use a dog-friendly shampoo and warm water to give your dog a bath.","","Ensure the dog's food and water bowls are clean and filled with fresh food and water.","15 minutes of mental stimulation games (obstacle course, hide treats)","Add 1/2 cup yogurt (curd) + 1/2 cup cooked green beans (French beans). Yogurt is a good source of probiotics that aid in digestion, and green beans offer fiber and essential nutrients for overall health.","Take your Labrador Retriever for a walk, allowing them to explore new scents and environments for mental and physical enrichment.","","2","","","1","Jan 2, 2023 12:00 am","May 23, 2023 10:40 am","May 23, 2023 10:40 am","","(App admin)","1684818624356x598335239346677200"
"Add 1/2 cup yogurt (curd) + 1/2 cup cooked carrots. Yogurt is a good source of probiotics that aid in digestion, and carrots provide beta-carotene for eye health and antioxidants for a strong immune system.","15 minutes of obedience training (recall, sit, stay)","","","","","Wash bedding and toys. Clean your dog's bedding and wash their toys to keep them clean and fresh.","Socialize with other dogs. Arrange playdates or visit a dog park to allow your dog to interact with other dogs.","16 minutes of interactive playtime (fetch, tug-of-war)","Add 1/2 cup cottage cheese (paneer) + 1/2 cup cooked sweet potatoes. Cottage cheese provides protein and calcium, while sweet potatoes offer dietary fiber, beta-carotene, and antioxidants for overall well-being.","15 minutes of gentle stretching exercises","","3","","","1","Jan 3, 2023 12:00 am","May 23, 2023 10:40 am","May 23, 2023 10:40 am","","(App admin)","1684818624362x488089747512725500"
"Add 1/2 cup cottage cheese (paneer) + 1/2 cup cooked quinoa. Cottage cheese is rich in protein and calcium, while quinoa is a gluten-free grain that provides additional protein and essential amino acids.","20 minutes of mental stimulation games (scent work, food puzzles)","","","","Administer flea/tick prevention. Apply flea and tick prevention treatment as recommended.","","Relaxation and mental stimulation. Provide calming activities such as massage or relaxation exercises to promote mental relaxation.","21 minutes of interactive playtime (frisbee, hide-and-seek)","Add 1/2 cup cooked fish (such as salmon or mackerel) + 1/2 cup cooked rice. Fish provides omega-3 fatty acids for a healthy coat, and rice offers carbohydrates for energy.","15 minutes of brushing and grooming","","4","","","1","Jan 4, 2023 12:00 am","May 23, 2023 10:40 am","May 23, 2023 10:40 am","","(App admin)","1684818624362x489512532650968640"
